slug,buckets,notes
call-it-gentlefication,Housing,"AI-suggested, user-approved 2026-05-20"
the-real-story-of-co-op-city,Housing,"AI-suggested, user-approved 2026-05-20"
crossing-delancey-one-projects-story,Housing,"AI-suggested, user-approved 2026-05-20"
learning-from-australias-gun-evolution,Guns,"AI-suggested, user-approved 2026-05-20"
a-brief-biography-of-the-second-amendment,Guns,"AI-suggested, user-approved 2026-05-20"
one-nation-under-guns,Guns,"AI-suggested, user-approved 2026-05-20"
forging-firearm-folklore,Guns,"AI-suggested, user-approved 2026-05-20"
let-new-york-vote-for-more-housing,Housing;Politics,"AI-suggested, user-approved 2026-05-20"
mamdanis-facilitators-frenemiesor-foes,Politics,"AI-suggested, user-approved 2026-05-20"
zohran-mamdanis-uphill-battle-on-public-grocery-stores,Economy;Governance,"AI-suggested, user-approved 2026-05-20"
the-catholic-church-at-a-crossroads,Other,"AI-suggested, user-approved 2026-05-20"
calling-the-cops-less-often,Crisis response;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
mamdani-needs-a-staffing-plan,Governance,"AI-suggested, user-approved 2026-05-20"
siesta-time-new-york,Public space;Climate,"AI-suggested, user-approved 2026-05-20"
how-zohran-mamdani-could-succeed-as-mayor,Politics,"AI-suggested, user-approved 2026-05-20"
zohran-mamdani-in-the-balance,Politics,"AI-suggested, user-approved 2026-05-20"
beyond-free-buses,Buses;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
government-is-already-in-the-grocery-business,Economy,"AI-suggested, user-approved 2026-05-20"
adams-abdication-has-new-york-city-at-trumps-mercy,Politics;Immigration,"AI-suggested, user-approved 2026-05-20"
how-you-yes-you-can-help-new-york-city-thrive,Other,"AI-suggested, user-approved 2026-05-20"
urban-infrastructure-reexamined,Public space,"AI-suggested, user-approved 2026-05-20"
how-small-acts-shape-great-cities,Public space,"AI-suggested, user-approved 2026-05-20"
does-eric-adams-have-a-chance,Politics,"AI-suggested, user-approved 2026-05-20"
how-to-get-smarter-about-fighting-crime,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
new-yorks-primary-and-the-power-of-better-election,Politics,"AI-suggested, user-approved 2026-05-20"
how-do-you-solve-a-problem-like-fees-and-fines,Criminal courts;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
fifty-years-of-injustice-at-rikers,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
mamdani-candidate-today-leader-tomorrow,Politics,"AI-suggested, user-approved 2026-05-20"
the-most-interesting-thing-on-the-ballot-this-fall,Politics,"AI-suggested, user-approved 2026-05-20"
zohran-mamdani-and-andrew-cuomo-arent-as-different-as-you-might-think,Politics,"AI-suggested, user-approved 2026-05-20"
everyone-got-cities-wrong,Other,"AI-suggested, user-approved 2026-05-20"
new-yorks-five-political-types,Politics,"AI-suggested, user-approved 2026-05-20"
how-trump-twists-the-uses-of-the-national-guard,Politics;Federal policy,"AI-suggested, user-approved 2026-05-20"
what-the-mayoral-debate-missed,Politics,"AI-suggested, user-approved 2026-05-20"
tom-robbins-and-the-slow-death-of-common-civic-cul,Politics,"AI-suggested, user-approved 2026-05-20"
ai-and-the-future-of-cities,Technology,"AI-suggested, user-approved 2026-05-20"
the-truth-about-shootings-in-new-york-city,Crime data;Guns,"AI-suggested, user-approved 2026-05-20"
can-the-usdot-end-mtas-congestion-pricing-system,Cars;Governance,"AI-suggested, user-approved 2026-05-20"
drop-dead-city-review,Other,"AI-suggested, user-approved 2026-05-20"
trumps-bizarro-new-deal,Politics,"AI-suggested, user-approved 2026-05-20"
trumps-executive-orders-have-cities-in-the-crosshairs,Politics;Governance,"AI-suggested, user-approved 2026-05-20"
donald-trump-vs-the-rule-of-law-and-new-york-city,Politics,"AI-suggested, user-approved 2026-05-20"
what-you-can-do-about-trump,Politics,"AI-suggested, user-approved 2026-05-20"
is-it-time-for-cities-to-go-it-alone,Politics,"AI-suggested, user-approved 2026-05-20"
holding-the-center-vital-city-at-three,Politics,"AI-suggested, user-approved 2026-05-20"
why-does-everything-cost-so-much,Economy,"AI-suggested, user-approved 2026-05-20"
how-starbucks-and-other-coffee-shops-spark-entrepreneurship,Economy,"AI-suggested, user-approved 2026-05-20"
echoes-of-1977-shape-2025-mayoral-politics-in-new-york,Politics,"AI-suggested, user-approved 2026-05-20"
new-yorks-new-subway-map,Subway,"AI-suggested, user-approved 2026-05-20"
is-there-any-path-to-victory-for-eric-adams-as-an-independent,Politics,"AI-suggested, user-approved 2026-05-20"
can-new-york-still-build-transformative-infrastructure,Governance,"AI-suggested, user-approved 2026-05-20"
migrants-give-more-than-they-take-to-new-york-citys-economy,Economy;Immigration,"AI-suggested, user-approved 2026-05-20"
andrew-cuomo-sees-a-city-in-crisis-do-new-york-voters,Politics,"AI-suggested, user-approved 2026-05-20"
editors-note-what-role-should-nonprofits-play-in-cities,Governance,"AI-suggested, user-approved 2026-05-20"
alexis-de-tocqueville-and-the-art-of-association,Other,"AI-suggested, user-approved 2026-05-20"
nonprofits-and-the-city,Nonprofits,"AI-suggested, user-approved 2026-05-20"
the-paradox-of-nonprofit-trustworthiness,Nonprofits,"AI-suggested, user-approved 2026-05-20"
the-enduring-power-of-poverty-pimps,Economy;Race,"AI-suggested, user-approved 2026-05-20"
how-the-nonprofit-sector-fails-low-income-communities,Nonprofits,"AI-suggested, user-approved 2026-05-20"
the-permanent-government-of-new-york-how-the-public-and-nonprofit-sectors-strengthen-the-city,Governance,"AI-suggested, user-approved 2026-05-20"
rethinking-the-role-of-nonprofits-in-progressive-politics,Governance;Politics,"AI-suggested, user-approved 2026-05-20"
the-trump-administration-poses-a-real-threat-to-nonprofits-in-new-york-and-beyond,Governance,"AI-suggested, user-approved 2026-05-20"
service-delivery-is-not-enough-advocacy-should-be-central-to-every-nonprofit,Governance,"AI-suggested, user-approved 2026-05-20"
mbas-for-the-public-good-does-getting-a-masters-degree-make-sense-for-nonprofit-professionals,Other,"AI-suggested, user-approved 2026-05-20"
charter-schools-at-the-crossroads,Youth,"AI-suggested, user-approved 2026-05-20"
in-defense-of-social-justice-upheaval-at-nonprofits,Other,"AI-suggested, user-approved 2026-05-20"
why-trumps-attempt-to-kill-congestion-pricing-must-fail,Cars,"AI-suggested, user-approved 2026-05-20"
whats-to-become-of-eric-adams-administration-now,Governance;Politics,"AI-suggested, user-approved 2026-05-20"
how-urban-progressives-became-their-own-worst-enemy-lessons-from-new-york,Politics,"AI-suggested, user-approved 2026-05-20"
big-cities-bigger-integrity-problems,Politics,"AI-suggested, user-approved 2026-05-20"
whats-race-got-to-do-with-mayor-adams-corruption-scandal,Politics;Race,"AI-suggested, user-approved 2026-05-20"
how-corrupt-is-new-york-anyway,Politics,"AI-suggested, user-approved 2026-05-20"
casinos-bring-the-rot-why-gambling-is-fertile-ground-for-corruption,Governance;Politics,"AI-suggested, user-approved 2026-05-20"
the-mayor-and-new-york-city-held-hostage-by-the-trump-administration,Politics,"AI-suggested, user-approved 2026-05-20"
when-the-cure-for-corruption-is-worse-than-the-disease,Governance,"AI-suggested, user-approved 2026-05-20"
tammany-through-clear-eyes,Politics,"AI-suggested, user-approved 2026-05-20"
lessons-about-corruption-from-the-history-of-garbage,Politics,"AI-suggested, user-approved 2026-05-20"
how-hong-kong-emerged-from-the-swamp,Governance,"AI-suggested, user-approved 2026-05-20"
government-should-harness-the-power-of-ai-to-combat-corruption-while-preserving-managerial-discretion,Governance,"AI-suggested, user-approved 2026-05-20"
running-for-nyc-mayor-through-a-fog,Politics,"AI-suggested, user-approved 2026-05-20"
just-the-facts-on-new-york-city-subway-crime,Crime data;Subway,"AI-suggested, user-approved 2026-05-20"
training-ai-to-make-cities-more-humane,Public space,"AI-suggested, user-approved 2026-05-20"
crime-on-the-ground-and-how-its-experienced,Crime data;Politics,"AI-suggested, user-approved 2026-05-20"
crime-in-context-locally-and-nationally,Crime data,"AI-suggested, user-approved 2026-05-20"
crime-data-is-better-will-americans-pay-attention,Crime data,"AI-suggested, user-approved 2026-05-20"
community-violence-intervention-at-a-crossroads,Community violence intervention,"AI-suggested, user-approved 2026-05-20"
clustering-of-gun-violence-the-problem-that-wont-go-away,Crime data;Guns,"AI-suggested, user-approved 2026-05-20"
fix-the-subway-not-society,Subway;Crime data,"AI-suggested, user-approved 2026-05-20"
on-fear-itself-worry-about-crime-has-taken-on-a-life-of-its-own,Crime data;Politics,"AI-suggested, user-approved 2026-05-20"
what-can-we-do-about-shoplifting-a-new-urban-plague,Crime;Public space,"AI-suggested, user-approved 2026-05-20"
the-bronxs-crime-crisis,Crime data,"AI-suggested, user-approved 2026-05-20"
broken-windows-politics-disorder-still-matters,Disorder;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
the-recovery-from-covid-19-pandemic-gun-violence,Crime data;Guns,"AI-suggested, user-approved 2026-05-20"
toward-a-new-discipline-macro-criminology,Crime data;Research,"AI-suggested, user-approved 2026-05-20"
a-new-yorker-mourns-the-conflagrations-engulfing-los-angeles,Other,"AI-suggested, user-approved 2026-05-20"
new-york-too-much-of-an-undocumented-immigrant-sanctuary-or-not-enough,Immigration;Politics,"AI-suggested, user-approved 2026-05-20"
the-problem-with-the-criminal-legal-system,Other,"AI-suggested, user-approved 2026-05-20"
what-has-become-of-hip-hop-landmarks-in-new-york-city,Culture;Public space,"AI-suggested, user-approved 2026-05-20"
for-new-york-city-crime-trends-a-good-month,Crime data,"AI-suggested, user-approved 2026-05-20"
can-eric-adams-really-win-a-second-term,Politics,"AI-suggested, user-approved 2026-05-20"
the-local-government-staffers-we-need-and-deserve,Governance,"AI-suggested, user-approved 2026-05-20"
child-welfare-agencies-should-only-pull-children-from-their-parents-as-a-last-resort,Youth;Domestic violence,"AI-suggested, user-approved 2026-05-20"
the-false-promise-of-police-crackdowns-in-new-york-city-roosevelt-island-queens-corridor,Public safety strategy;Policing,"AI-suggested, user-approved 2026-05-20"
how-does-the-empire-state-strike-back-how-new-york-answers-a-restive-electorate,Politics,"AI-suggested, user-approved 2026-05-20"
congestion-pricing-2-tolling-cars-to-enter-central-manhattan-remains-hugely-worthwhile,Cars,"AI-suggested, user-approved 2026-05-20"
why-new-yorkers-in-poverty-need-city-of-yes,Housing,"AI-suggested, user-approved 2026-05-20"
calling-real-leaders-the-2025-new-york-city-mayoral-race-is-underway,Politics,"AI-suggested, user-approved 2026-05-20"
the-truth-about-youth-crime-rates-in-nyc,Crime data;Youth,"AI-suggested, user-approved 2026-05-20"
movement-new-yorks-long-war-to-take-back-its-streets-from-the-car-excerpt,Subway;Buses,"AI-suggested, user-approved 2026-05-20"
why-opponents-should-say-yes-to-city-of-yes,Housing;Politics,"AI-suggested, user-approved 2026-05-20"
in-praise-of-a-new-manifesto-for-cities,Public space,"AI-suggested, user-approved 2026-05-20"
in-these-streets-reporting-from-the-front-lines-of-inner-city-gun-violence-josiah-bates-review,Community violence intervention;Research,"AI-suggested, user-approved 2026-05-20"
from-plantation-prisons-to-the-modern-era,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
bruce-western-on-the-impact-of-jail-on-the-lives-of-new-yorkers,Rikers & jails;Research,"AI-suggested, user-approved 2026-05-20"
what-will-new-york-do-to-answer-decades-of-rape-claims-rikers-rosies,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
holding-rikers-officers-accountable-an-almost-impossible-task,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
a-snapshot-of-how-unions-forestall-progress-on-jail-conditions,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
hardship-on-top-of-hardship,Criminal courts;Rikers & jails,"AI-suggested, user-approved 2026-05-20"
a-culture-of-learning-can-defeat-a-culture-of-violence,Rikers & jails;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
improving-conditions-on-rikers-island,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
the-limits-of-litigation-history-of-federal-oversight-at-rikers,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
can-a-receiver-bring-enduring-change-for-the-better,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
can-eric-adams-govern-without-a-government,Politics,"AI-suggested, user-approved 2026-05-20"
if-eric-adams-does-not-resign-can-he-be-forced-out-of-office-its-complicated,Politics,"AI-suggested, user-approved 2026-05-20"
eric-adams-legal-headaches-reforming-new-york-travel-expenses-laws,Politics,"AI-suggested, user-approved 2026-05-20"
an-architect-dissects-francis-ford-coppolas-passion-project-megalopolis,Culture,"AI-suggested, user-approved 2026-05-20"
the-subway-movie-everyone-should-see-pelham-one-two-three,Subway,"AI-suggested, user-approved 2026-05-20"
what-to-do-about-people-struggling-with-serious-mental-illness-on-the-subway-nyc,Mental illness;Subway,"AI-suggested, user-approved 2026-05-20"
expand-the-reach-of-the-subway-system-a-2125-map,Subway,"AI-suggested, user-approved 2026-05-20"
subway-ads-through-the-eras,Subway,"AI-suggested, user-approved 2026-05-20"
hate-the-mta-beware-the-alternatives,Subway;Governance,"AI-suggested, user-approved 2026-05-20"
riding-while-female-a-safer-subway-for-women-too,Subway;Crime data,"AI-suggested, user-approved 2026-05-20"
why-are-new-york-transit-expenses-so-high-history-of-politics,Subway;Politics,"AI-suggested, user-approved 2026-05-20"
the-public-square-subways,Subway;Cars,"AI-suggested, user-approved 2026-05-20"
waiting-for-the-elevators-mta-long-road-to-accessible-wheelchair-system,Subway;Housing,"AI-suggested, user-approved 2026-05-20"
the-four-forces-that-have-shaped-the-subway-system,Subway,"AI-suggested, user-approved 2026-05-20"
without-a-better-bus-network-the-citys-public-transportation-system-will-fail-people,Buses,"AI-suggested, user-approved 2026-05-20"
the-45-minute-city,Subway;Public space,"AI-suggested, user-approved 2026-05-20"
eric-adams-scandals-in-context,Politics,"AI-suggested, user-approved 2026-05-20"
whats-missing-in-the-case-against-eric-adams,Politics,"AI-suggested, user-approved 2026-05-20"
the-eric-adams-indictment-a-tragedy-in-two-dimensions,Politics,"AI-suggested, user-approved 2026-05-20"
make-design-relevant-again,Public space,"AI-suggested, user-approved 2026-05-20"
gun-violence-prevention-and-the-harm-of-omission,Guns;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
crime-rhetoric-vs-crime-realities,Crime data;Politics,"AI-suggested, user-approved 2026-05-20"
city-beautiful-city-ugly,Public space,"AI-suggested, user-approved 2026-05-20"
new-york-times-to-new-york-drop-dead,Politics,"AI-suggested, user-approved 2026-05-20"
jane-jacobs-would-support-city-of-yes,Housing;Public space,"AI-suggested, user-approved 2026-05-20"
10-years-after-the-killing-of-eric-garner,Policing;Research,"AI-suggested, user-approved 2026-05-20"
how-architecture-can-create-community-or-isolation,Public space;Housing,"AI-suggested, user-approved 2026-05-20"
gothams-boundless-ingenuity,Economy,"AI-suggested, user-approved 2026-05-20"
whither-the-black-exodus,Politics;Race,"AI-suggested, user-approved 2026-05-20"
postcards-from-the-past,Culture,"AI-suggested, user-approved 2026-05-20"
build-more-homes-for-families,Housing,"AI-suggested, user-approved 2026-05-20"
why-ill-probably-never-leave-new-york-city,Other,"AI-suggested, user-approved 2026-05-20"
when-citizens-rescue-neighborhoods,Public space;Governance,"AI-suggested, user-approved 2026-05-20"
the-cultural-upside-of-a-downturn,Economy;Culture,"AI-suggested, user-approved 2026-05-20"
how-to-make-the-five-boroughs-better-for-parents-and-children,Housing;Youth,"AI-suggested, user-approved 2026-05-20"
our-transit-tomorrow,Subway,"AI-suggested, user-approved 2026-05-20"
self-esteem-and-the-modern-city,Other,"AI-suggested, user-approved 2026-05-20"
the-secret-ingredient-safe-pedestrian-friendly-streets,Public space,"AI-suggested, user-approved 2026-05-20"
governance-in-the-time-of-congestion,Cars;Governance,"AI-suggested, user-approved 2026-05-20"
the-titanium-law-of-evaluation,Research,"AI-suggested, user-approved 2026-05-20"
was-kathy-hochuls-congestion-pricing-calculation-good-or-bad-politics,Politics,"AI-suggested, user-approved 2026-05-20"
how-london-and-stockholm-made-congestion-pricing-politics-work,Cars,"AI-suggested, user-approved 2026-05-20"
understanding-new-yorks-congestion-pricing-mess,Cars;Governance,"AI-suggested, user-approved 2026-05-20"
peoples-perception-of-safety-on-subways,Subway;Mental illness,"AI-suggested, user-approved 2026-05-20"
does-nothing-stop-a-bullet-like-a-job,Guns;Crime data,"AI-suggested, user-approved 2026-05-20"
columbia-1968-commencement-address,Other,"AI-suggested, user-approved 2026-05-20"
congestion-pricing-an-explainer,Cars,"AI-suggested, user-approved 2026-05-20"
the-long-and-winding-road,Cars;Governance,"AI-suggested, user-approved 2026-05-20"
invest-in-transit-the-right-way,Subway;Buses,"AI-suggested, user-approved 2026-05-20"
smarter-parking-policy-please,Cars;Public space,"AI-suggested, user-approved 2026-05-20"
new-yorks-new-housing-deal-a-significant-win-for-tenants,Housing,"AI-suggested, user-approved 2026-05-20"
when-zoning-goes-too-far,Housing,"AI-suggested, user-approved 2026-05-20"
understanding-the-new-york-news-subsidy,Other,"AI-suggested, user-approved 2026-05-20"
new-york-needs-remedial-education-in-civic-tech,Technology,"AI-suggested, user-approved 2026-05-20"
data-in-garbage-out,Research,"AI-suggested, user-approved 2026-05-20"
the-public-square-issue-7,Rikers & jails;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
the-abcs-of-policy-research,Research,"AI-suggested, user-approved 2026-05-20"
the-hubris-of-social-scientists,Research,"AI-suggested, user-approved 2026-05-20"
why-does-reform-fail,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
democracy-of-evidence,Research,"AI-suggested, user-approved 2026-05-20"
causal-research-more-not-less,Research,"AI-suggested, user-approved 2026-05-20"
confronting-radical-uncertainty,Research,"AI-suggested, user-approved 2026-05-20"
the-precautionary-principle,Research,"AI-suggested, user-approved 2026-05-20"
how-the-sausage-gets-made-a-primer,Research,"AI-suggested, user-approved 2026-05-20"
jimmy-breslin-and-the-lost-rhythm-of-new-york,Other,"AI-suggested, user-approved 2026-05-20"
when-cant-miss-programs-fail,Research,"AI-suggested, user-approved 2026-05-20"
its-hard-to-change-people,Research;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
raising-the-bar-and-ending-an-era-of-low-expectations,Governance,user-confirmed
what-really-drives-policy,Public safety strategy;Research,"AI-suggested, user-approved 2026-05-20"
the-limits-of-death-star-thinking,Research;Governance,"AI-suggested, user-approved 2026-05-20"
what-is-gold-standard-evidence-anyway,Research,"AI-suggested, user-approved 2026-05-20"
