approve,slug,title,date,current_buckets,suggested_buckets,suggested_article_type,confidence,rationale,tags
yes,how-will-congestion-pricing-actually-work,How Will Congestion Pricing Actually Work?,2025-01-08,Housing;Transit,Cars;Transit,interview,high,"Congestion pricing directly impacts both cars (the fee mechanism) and transit (the policy's rationale to fund subway infrastructure), and this is explicitly an interview format.","City Planning, Transportation"
yes,congestion-pricings-belated-lesson,Congestion Pricing’s Belated Lesson,2025-01-04,Housing;Transit,Cars;Transit,article,high,"Piece directly addresses congestion pricing policy, its traffic-reduction efficacy, and the need for transit investment—core to both Cars and Transit domains.","City Planning, Transportation"
yes,on-overdose-prevention-centers-listen-to-community-complaints,"On Overdose Prevention Centers, Listen to Community Complaints",2025-01-02,Health & human services;Drugs,Drugs;Public Safety Strategy,article,high,"The piece examines overdose prevention centers as a drug policy intervention, balancing public health evidence against community concerns about implementation—a core Public Safety Strategy question about how to address drug issues.","Public Health, Drugs"
yes,what-kind-of-nypd-commissioner-do-we-need,What Kind of NYPD Commissioner Do We Need?,2024-10-10,Policing;Governance,Policing,article,high,"Leadership and personnel issues at the NYPD, focused on commissioner selection and departmental integrity — classic policing governance, not broader Public Safety Strategy.","Where Do We Go From Here?, Police Reform, Government Operations"
yes,reimagining-the-street-and-subways-platforms-new-york-city,The Platforms We Deserve,2024-10-02,Health & human services;Housing,Subway;Public Space,article,high,"Design-forward piece reimagining subway stations and their integration with street-level public realm; primarily about transit infrastructure and urban design, not health services or housing.","Dreams of the Future, Public Health, City Planning"
yes,the-congestion-pricing-meltdown-and-its-aftermath,It’s About Time: The Congestion Pricing Meltdown and Its Aftermath,2024-10-02,Transit;Housing,Cars;Transit,article,high,"Piece analyzes congestion pricing as a funding mechanism for transit infrastructure, directly connecting car tolls to subway modernization and service improvements.","Solutions for Today and Tomorrow, Transit, City Planning"
yes,what-new-yorks-subway-system-can-learn-from-cities-around-the-world,Room for Improvement,2024-10-02,Housing;Transit,Subway,article,high,Comparative analysis of NYC subway modernization using international examples—pure subway infrastructure and technology piece.,"Solutions for Today and Tomorrow, City Planning, Transit"
yes,should-new-york-city-have-free-fares-for-better-and-worse,"Free Fares, for Better and Worse",2024-10-02,Other,Subway;Buses;Public Safety Strategy,article,high,Policy analysis of fare-free transit trade-offs; directly parallels Ted's 'Beyond Free Buses' and 'When Buses and Subways Were Free' which paired transit domains with Public Safety Strategy.,"Decisions, Decisions, Decisions"
yes,bring-vision-to-hochuls-mental-health-plans,Bring Vision to Hochul’s Mental Health Plans,2024-05-09,Health & human services,Mental illness;Health & human services,article,high,"Policy analysis of New York's psychiatric bed strategy under Hochul, requiring both mental illness and health & human services domains.",Mental Health
yes,beware-of-potholes,Beware of Potholes,2024-05-01,Transit,Cars;Public Safety Strategy,article,high,"Piece analyzes congestion pricing implementation and enforcement challenges, directly addressing transportation policy and its public safety/behavior implications.","What Could Go Wrong?, Transit, Infrastructure"
yes,risks-outside-the-zone,Risks Outside the Zone,2024-05-01,Housing;Transit,Cars;Race,article,high,"Analyzes congestion pricing's unequal impact on low-income communities of color through traffic diversion and environmental racism, bridging transportation policy with racial equity.","What Could Go Wrong?, City Planning, Transportation"
yes,offer-riders-a-better-deal,Offer Riders a Better Deal,2024-05-01,Transit,Cars;Buses;Subway,article,medium,"Core argument about congestion pricing as transportation policy, but the solution offered (lower subway fares) makes this span multiple transit modes; could also fit Public Safety Strategy if framed as systemic policy.","What Opportunities Await?, Transit"
yes,serve-the-walkers,Serve the Walkers,2024-05-01,Transit;Housing,Public Space;Cars,article,high,"Piece argues for reclaiming street/sidewalk space for pedestrians in response to congestion pricing, centered on walkability and urban design—not transit operations or housing policy.","What Opportunities Await?, Transit, City Planning"
yes,build-better-for-bicyclists,Build Better for Bicyclists,2024-05-01,Transit,Public Space;Cars,article,high,"Piece advocates for better street design and protected bike infrastructure as alternative to car dominance; core subject is urban realm and transportation equity, not transit systems themselves.","What Opportunities Await?, Transportation, Infrastructure"
yes,is-transformational-change-the-only-thing-that-matters,Is Transformational Change the Only Thing That Matters?,2024-03-27,Health & human services;Economy,Public Safety Strategy;Research,article,high,"Essay argues against demanding transformational change from criminal justice reforms, emphasizing incremental progress and rigorous evaluation—a direct Public Safety Strategy and Research methodology piece.","Public Health, Economics, The Joy of Incrementalism"
yes,welcome-to-oz-a-look-behind-the-government-curtain,Welcome to Oz: A Look Behind the Government Curtain,2024-03-27,Governance,Governance;Research,article,high,An insider critique of how government actually makes policy decisions versus the ideal of evidence-based policymaking—spanning governance operations and research methodology.,"The Way Forward, Government Operations"
yes,humanize-every-incarcerated-person,Humanize Every Incarcerated Person,2024-03-12,Health & human services;Rikers & jails,Rikers & jails;Mental illness,article,high,"First-person account by a psychiatrist about jail culture, dehumanization, and mental health support at Rikers; directly addresses incarceration conditions and mental health care.","Some Policy Solutions, Mental Health, Incarceration"
yes,people-with-serious-mental-illness-need-housing-not-jail,"People With Serious Mental Illness Need Housing, Not Jail",2024-03-12,Health & human services;Rikers & jails,Mental illness;Rikers & jails,article,high,The piece directly addresses how people with serious mental illness are warehoused in jails (specifically Rikers) and advocates for housing and health-care alternatives to incarceration.,"Some Policy Solutions, Mental Health, Incarceration"
yes,improving-new-york-public-transit-for-less,Improving New York Public Transit for Less,2023-12-06,Transit;Housing,Buses;Public Safety Strategy,article,high,"Piece focuses on operational and procedural improvements to bus service (fare collection, enforcement) and transit efficiency—a public safety strategy angle via revenue recovery and service quality.","Transit, City Planning"
yes,responding-to-troubled-men-on-the-street,In Good Conscience: Responding to Troubled Men on the Street,2023-11-01,Health & human services,Crisis response;Mental illness,article,high,"Article focuses on bystander intervention and appropriate emergency response to mentally ill people in crisis on streets, advocating for social workers and mental health professionals over police.","Public Health, Mental Health"
yes,the-public-square-issue-4,The Public Square,2023-06-28,Governance;Criminal courts,Disorder;Crime Data,article,medium,"This is a state-of-the-city piece on overlapping public safety challenges (bail reform, detention, housing, violence); 'Disorder' captures the broad systemic tension, 'Crime Data' the policy/empirical focus, not 'Criminal courts' which is too narrow for a budget/governance piece, and 'Governance' is over-applied here per Ted's guidance.","Setting the Stage, Budget, Crime, State Government, Justice"
yes,resisting-the-asylums-pull,Resisting the Asylum's Pull,2023-05-17,Health & human services,Mental illness;Public Safety Strategy,article,high,"Piece examines coercive mental health policy (involuntary commitment) and its effectiveness in preventing violence, directly engaging with public safety strategy in the context of serious mental illness.","Mental Health, Public Health"
yes,why-it-costs-4-billion-per-mile-of-subway-track,The Transit Costs Are Too Damn High!,2023-04-07,Transit;Governance,Subway;Governance,article,high,Analysis of why NYC subway construction costs are inflated; fundamentally about governance/decision-making and budgeting rather than transit operations or service.,"Transit, Budget"
yes,sunday-in-the-park,Sunday in the Park with Everybody,2023-02-11,Other,Public Space;Culture,article,medium,"Title evokes public gathering and urban realm; without excerpt it's hard to be certain, but parks and communal space are Public Space domain, with Culture if the piece focuses on social/cultural dimension of park use.",
yes,lorem-ipsum,NYC Jails Data,2022-10-25,Other,Rikers & jails;Crime Data,data_product,high,"This is a data product about incarceration/jails statistics, not a narrative article—it's a gateway to filtered datasets on NYC jail populations.",
yes,stemming-violence-investing-in-civic-goods,Stemming Violence by Investing in Civic Goods,2022-01-15,Health & human services;Guns,Public Safety Strategy;Youth,article,high,"Evidence-based review of non-criminal-justice interventions (summer jobs, civic programs, youth services) that reduce violent crime—core Public Safety Strategy with a Youth focus.","Crime, Public Health, Gun Violence"
