approve,slug,title,date,current_buckets,suggested_buckets,suggested_article_type,confidence,rationale,tags
yes,free-observation-decks-new-york,Observation Decks for All New Yorkers,2026-01-28,Culture;Transit,Public Space,article,high,This is an opinion piece about public access to iconic city viewpoints and shared urban amenities—a core Public Space topic about the commons and who gets to enjoy them.,"Neighborhood Life, Infrastructure"
yes,minnesota-ice-alex-pretti-policing,What ICE’s Recklessness Teaches Us About Real Policing,2026-01-27,Immigration;Governance;Policing,Policing;Immigration,article,high,"A critique of ICE's lethal force practices and a call for municipal policing standards, anchored in a specific immigration enforcement death.","Immigration, The Role of the Feds, Police-Community Relations"
yes,children-domestic-violence-acs-family-court,Supporting Children Who Experience Violence at Home,2026-01-16,Health & human services;Criminal courts,Health & human services;Youth,article,high,"Piece focuses on support systems and service gaps for children experiencing domestic violence, centered on Family Court and social services delivery, not criminal prosecution.","Child Welfare, Justice, Law"
yes,mamdani-universal-childcare-policy-questions,"Small Children, Big Looming Policy Questions",2026-01-14,Youth;Governance;Culture,Youth;Governance,article,high,"Policy analysis of Mayor Mamdani's child care expansion strategy, centered on implementation tradeoffs and governance decisions affecting families with young children.","Education, Government Operations, Neighborhood Life"
yes,nyc-grocery-cost-explained,The Real Reasons New Yorkers’ Groceries Cost So Much,2026-01-14,Governance;Housing,Economy,article,high,"The piece analyzes NYC grocery pricing, cost-of-living affordability, and economic policy proposals—core economy topics—not housing or governance.","City Government, City Planning"
yes,mamdani-housing-affordability-new-york,Mamdani’s Affordability Dilemma: The Challenge of Making New York City Housing Less Expensive,2026-01-07,Housing;Governance,Housing,article,high,Focused analysis of housing affordability policy levers and constraints; governance context is secondary to the substantive housing economics.,"Housing, City Government, Government Operations"
yes,revealing-hidden-signals-in-city-hotline-data,Revealing Hidden Signals in City Hotline Data,2026-01-07,Criminal courts;Governance;Economy,Crime Data;Public Safety Strategy,article,high,A research-driven analysis of how hotline data reveals community engagement and trust dynamics following a place-based intervention; primarily about crime reporting patterns and public safety strategy.,"Crime, Justice, Government Operations, Technology"
yes,zohran-mamdani-trump-maduro-nyc,"Mamdani, Like Mayors Before Him, Can Have a Foreign Policy",2026-01-06,Politics;Governance,Politics,article,high,"A piece about mayoral foreign policy posture and electoral/civic leadership, not municipal governance or operations.","Politics, Government Operations, City Government, Foreign Policy"
yes,one-year-into-congestion-pricing-in-new-york-city,"Congestion Pricing, One Year In: A Qualified Success",2026-01-02,Housing;Governance,Traffic enforcement;Transit,article,high,"Data-driven policy assessment of congestion pricing's impacts on traffic, transit revenue, and street management—squarely in Traffic enforcement and Transit domains.","City Planning, Government Operations"
yes,the-future-of-renewable-rikers,What is the Future of ‘Renewable Rikers’ Island?,2025-12-17,Governance;Culture,Rikers & jails;Governance,article,high,Piece analyzes the future of Rikers Island jail complex closure and post-closure land use planning under new mayoral administration.,"City Government, History"
yes,nstat-should-be-key-to-mamdani-public-safety-plan,What Mamdani Can Learn from a de Blasio Administration Safety Innovation,2025-12-10,Policing;Governance,Public Safety Strategy,article,high,The piece evaluates a mayoral public safety policy approach (Department of Community Safety) and advocates for measurement/coordination infrastructure to implement it effectively.,"Safety, policy"
yes,how-mamdani-can-delivery-free-buses-and-subways-too,"How Mamdani Can Deliver Free Buses — and Subways, Too",2025-12-09,Transit;Governance,Subway;Buses,article,high,Core piece about free transit funding mechanisms; Transit is too generic when the subject explicitly covers both subway and bus policy.,"Transit, policy"
yes,new-york-needs-a-smarter-way-to-control-rents,New York City Needs a Smarter Way to Control Rents,2025-12-05,Housing;Culture;Economy,Housing;Economy,article,high,Policy analysis of rent stabilization system balancing tenant affordability against landlord operating costs; core housing-policy and economic-trade-off piece.,"Housing, Neighborhood Life, Economics"
yes,department-of-community-safety-and-universal-childcare-albequerque-new-york,New Mexico: Surprising Proving Ground for Two Big Mamdani Ideas?,2025-11-24,Governance;Youth;Policing,Public Safety Strategy;Youth,article,high,Examines two policy proposals—community safety departments and universal childcare—by analyzing their implementation in New Mexico as a proving ground for Mamdani's NYC agenda.,"Government Operations, Education, Police Reform, City Government"
yes,kathy-hochul-nese-pipeline-empire-wind,A Pipeline to Somewhere,2025-11-19,Governance;Climate,Climate,article,high,"A policy analysis of the tradeoff between a natural gas pipeline permit and offshore wind development, centered on climate and energy strategy.","policy, Environment"
yes,tax-revenue-is-destiny,Tax Revenue is Destiny,2025-11-13,Economy;Governance,Economy;Politics,article,high,"Op-ed analyzing how NYC's fiscal condition constrains Mayor Mamdani's affordability agenda, blending budget/economic policy with electoral politics and mayoral governance.","Economics, Budget"
yes,mamdanis-victory-and-memories-of-dinkins,"Mamdani’s Victory, and Memories of Dinkins’",2025-11-07,Governance;Culture,Politics,article,high,"A reflective piece on electoral shifts and mayoral politics, comparing Dinkins' 1989 breakthrough with Mamdani's 2025 victory—core political analysis, not governance per se.","City Government, The State of the City, History"
yes,how-modern-new-york-city-mayors-meet-the-moment,How Modern Mayors Meet the Moment,2025-11-07,Governance;Culture,Politics,article,high,"Historical analysis of mayoral elections and voter behavior as political choice-making, not a governance/administration piece.","City Government, The State of the City, History"
yes,mamdanis-charter-school-dilemma,Mamdani’s Charter School Dilemma,2025-11-06,Youth;Governance,Youth;Politics,article,medium,"Charter school policy affecting low-income students is primarily a youth/education issue, but the piece's real focus is Mamdani's political positioning and pressure to diverge from Democratic orthodoxy.","Education, What to Do Now, Government Operations"
yes,zohran-mamdani-michelle-wu-and-brandon-johnson,Which Way Mamdani?,2025-11-06,Governance;Politics,Politics,article,high,"A comparative analysis of three progressive mayors' governing approaches and political trajectories—clearly about electoral politics and mayoral governance strategy, not public safety or specific policy domains.","City Government, What to Do Now, Politics, Government Operations"
yes,no-city-for-old-monuments,No City for Old Monuments?,2025-11-06,Culture,Politics,article,medium,"Primarily about how Mayor Mamdani should navigate a contentious cultural-political issue (monument removal); the substance is governance/political positioning, not the aesthetics or history of art itself.","culture, What to Do Now, History"
yes,a-new-era-in-new-york-city-political-history,A New Era in New York City Political History?,2025-11-06,Governance;Culture,Politics,article,high,Historical analysis of mayoral politics and electoral mandate; contextualizes Mamdani's victory within NYC political tradition.,"City Government, The State of the City, History"
yes,mamdani-mailer-and-breslin-bringing-fun-to-new-york-city,"Bringing the Fun Back to Fun City: Mamdani, Mailer and Breslin",2025-10-29,Politics;Governance,Politics,article,high,"This is a piece about electoral politics and campaign strategy, comparing contemporary mayoral candidate Mamdani to historical figures Mailer and Breslin; Governance is overapplied here since the focus is political messaging and candidacy, not administration.","Politics, City Government"
yes,what-came-after-1975-new-york-fiscal-crisis,What Came After ‘Drop Dead’,2025-10-29,Culture;Housing,Governance,article,high,"A historical-analytical piece about NYC's fiscal crisis, federal-city relations, and governance strategy—not primarily about housing policy or culture.","History, City Planning"
yes,new-yorks-next-mayor-must-put-heads-together,New York’s Next Mayor Must Put Heads Together,2025-10-29,Culture;Governance,Politics,article,high,"This is a mayoral-election-year opinion piece about leadership, civic cooperation, and governance philosophy—core Politics territory, not generic Governance.","History, City Government"
yes,move-local-elections-to-even-years,A True Mandate for New York City,2025-10-28,Politics;Governance,Politics,article,high,"A substantive piece about electoral mechanics, voter turnout, and mayoral mandate legitimacy—core political governance issue, not criminal justice or public safety.","Politics, Government Operations"
yes,flip-the-script-and-the-ballot-for-housing,"Flip the Script, and the Ballot, for Housing",2025-10-28,Housing;Governance,Housing,article,high,"Focused on housing affordability and Charter/zoning reform; political context is instrumental to the housing policy argument, not the primary subject.","Housing, City Government"
yes,two-mayoral-debates-are-not-nearly-enough,Two Mayoral Debates: Not Nearly Enough,2025-10-28,Politics;Governance,Politics,article,high,"Editors' critique of mayoral debate coverage and electoral process; substantive politics piece, not governance operations.","Politics, Government Operations"
yes,how-zohran-mamdani-can-get-out-of-the-gifted-and-talented-trap,How Zohran Mamdani Can Get Out of the ‘Gifted & Talented’ Trap,2025-10-24,Youth;Governance,Youth;Politics,article,medium,Piece analyzes gifted education policy and mayoral candidates' positions; primarily about education equity (Youth) but framed as electoral/governance debate (Politics).,"Education, Government Operations"
yes,universal-child-care-could-be-a-seismic-shift-for-new-yorks-children,"Done Right, Universal Child Care Would Be a Seismic Shift for New York’s Children",2025-10-23,Youth;Governance,Youth,article,high,"This is primarily about early childhood education policy and its developmental benefits; while it touches on mayoral campaign politics, the core subject is youth development and education outcomes, not electoral politics.","Education, City Government"
yes,why-isnt-education-at-the-center-of-the-new-york-city-mayoral-race,Why Isn’t Education at the Center of the New York City Mayoral Race?,2025-10-22,Youth;Governance,Youth;Politics,article,medium,A critique of mayoral campaign coverage and education policy priorities; spans youth-focused education issues and electoral/political discourse about mayoral accountability.,"Education, City Government"
yes,the-one-debate-answer-that-spoke-volumes-about-zohran-mamdani,The One Debate Answer that Spoke Volumes about Zohran Mamdani,2025-10-17,Politics;Governance,Politics,article,high,"Analysis of a mayoral candidate's debate performance and campaign promises on rent control, centered on electoral politics and governance accountability rather than housing policy itself.","Politics, Mugged by Reality, City Government"
yes,can-cities-withstand-trumps-assault,Can Cities Withstand Trump’s Assault?,2025-10-17,Governance,Politics;Governance,article,high,"Analysis of federal-municipal fiscal and policy conflict under Trump administration, blending electoral/political context with city budgeting and administrative capacity.","Government Operations, Mugged by Reality, City Government, Federal Government"
yes,john-lindsay-zohran-mamdani-and-how-ambitions-collide-with-reality,"John Lindsay, Zohran Mamdani and How Ambitions Collide with Reality",2025-10-17,Governance;Politics,Politics,article,high,"A historical-comparative analysis of mayoral ambitions and electoral politics, not public safety or governance operations.","Government Operations, Mugged by Reality, Politics, Mamdani"
yes,even-mamdanis-new-york-needs-millionaires,Even Mamdani’s New York Needs Millionaires,2025-10-17,Governance,Economy;Governance,article,high,"Piece analyzes tax policy, fiscal impacts on city services, and wealth migration — core economy and governance concerns, not Mamdani's public safety platform.","Government Operations, Mugged by Reality"
yes,bill-de-blasio-role-model,"Bill de Blasio, Role Model?",2025-10-17,Governance;Politics,Politics,article,high,"A retrospective on de Blasio's mayoralty as a lens for evaluating Mamdani's incoming administration—fundamentally about electoral politics, leadership succession, and legacy assessment.","City Government, Mugged by Reality, Politics"
yes,designing-cities-for-a-sustainable-climate-future,Designing Cities to Go the Distance,2025-10-08,Housing;Culture;Climate,Public Space;Climate,article,high,"Piece examines urban design, walkability, and neighborhood accessibility as climate strategy, using NYC's mid-century planning history (Moses vs. Jacobs) to argue for car-free, compact cities.","City Planning, History, Climate Change"
yes,percy-sutton-eric-adams-and-the-state-of-black-political-power-in-new-york,"Percy Sutton, Eric Adams and the State of Black Political Power in New York",2025-10-03,Race;Governance;Culture,Politics;Race,article,high,Essay analyzing Eric Adams' political exit and the structural decline of Black electoral power in NYC through historical and demographic lenses.,"Race, City Government, History"
yes,new-yorks-housing-crisis-self-inflicted-and-solvable,New York’s Housing Crisis: Self-Inflicted and Solvable,2025-09-17,Housing;Governance;Race,Housing,article,high,"Squarely focused on housing supply, affordability, and policy solutions; Race and Governance tags are secondary framing, not the core subject.","Housing, The State of the City, Inequality, Pouring the Foundation"
yes,a-housing-agenda-for-the-next-mayor,A Housing Agenda for the Next Mayor,2025-09-17,Housing;Governance,Housing,article,high,Forward-looking policy agenda focused exclusively on housing affordability and production; governance context is secondary framing.,"Housing, If I Had a Hammer..., City Government"
yes,teachings-from-tokyo,Teachings from Tokyo,2025-09-17,Housing;Governance,Housing,article,high,"Comparative policy analysis of housing production and affordability in Tokyo vs. NYC; no secondary domain warranted despite governance angle, as the piece's real subject is housing strategy and supply, not city operations broadly.","Housing, If I Had a Hammer..., City Planning, Government Operations"
yes,learning-from-jersey-city,Learning from Jersey City,2025-09-17,Housing;Governance,Housing,article,high,"A comparative analysis of housing production policy and affordability outcomes across Jersey City and NYC—squarely a housing-focused piece with no substantial criminal justice, public safety, or governance-as-structural-reform angle.","Housing, If I Had a Hammer..., City Government"
yes,call-it-gentlefication,Building Neighborhoods on Trust,2025-09-17,Culture;Governance,Housing,article,high,"The piece directly addresses housing development, displacement, affordability strategies, and government intervention in neighborhood housing — core Housing domain concerns.","Neighborhood Life, If I Had a Hammer..., City Government"
yes,the-real-story-of-co-op-city,The Real Story of Co-op City,2025-09-17,Housing;Culture,Housing,article,high,"A historical analysis of how Co-op City was built, focused squarely on affordable housing development and lessons for current policy—no secondary domain warranted.","Housing, Pouring the Foundation, History"
yes,crossing-delancey-one-projects-story,Crossing Delancey: One Project’s Story,2025-09-17,Housing;Culture,Housing,article,high,"A legislator's first-person account of negotiating affordable housing development on the Lower East Side, centered on Essex Crossing and community input—squarely Housing policy, not Culture.","City Planning, If I Had a Hammer..., History, Housing"
yes,learning-from-australias-gun-evolution,"A Different Frontier, a Parallel History",2025-09-10,Culture;Guns,Guns,article,high,"Comparative analysis of gun policy, ownership, and regulation in Australia vs. the U.S.; uses Australia as a case study to examine gun violence and reform possibilities.","History, Modern Evolution: Marketing and Profits, Guns"
yes,a-brief-biography-of-the-second-amendment,A Brief Biography of the Second Amendment,2025-09-10,Culture;Guns;Governance,Guns,article,high,"Constitutional and legal history of the Second Amendment; not about criminal courts or gun violence specifically, but about the interpretation and doctrine of gun rights.","History, Gun Violence, Foundations: The Wild West and the Nation"
yes,one-nation-under-guns,One Nation Under Guns,2025-09-10,Culture;Guns;Governance,Guns,article,high,"Historical examination of American gun ownership and regulation patterns; purely about guns as a social/historical phenomenon, not policing or crime specifically.","History, Gun Violence, Foundations: The Wild West and the Nation"
yes,forging-firearm-folklore,Forging Firearm Folklore,2025-09-10,Guns;Governance;Culture,Guns,article,high,"Historical and cultural analysis of how gun mythology shaped American identity through marketing and narrative, directly addressing the ideological foundations of contemporary gun debates.","Gun Violence, Foundations: The Wild West and the Nation, History"
yes,let-new-york-vote-for-more-housing,Let New York Vote for More Housing,2025-09-08,Housing;Governance,Housing;Politics,article,high,"The piece is fundamentally about a charter revision ballot question on housing policy and the political/electoral mechanics blocking it from voters, spanning both Housing and Politics.","Housing, City Government"
yes,mamdanis-facilitators-frenemiesor-foes,"Mamdani’s Facilitators, Frenemies or Foes",2025-09-03,Governance,Politics,article,high,"This is electoral analysis of a mayoral candidate's agenda and the political forces that will constrain or enable it—classic Politics domain, not Governance.",Government Operations
yes,zohran-mamdanis-uphill-battle-on-public-grocery-stores,Zohran Mamdani’s Uphill Battle on Public Grocery Stores,2025-08-14,Governance,Economy;Governance,article,medium,Primarily about the economic viability and governance challenges of a mayoral policy proposal; secondary angle is municipal competition in the private sector.,City Government
yes,the-catholic-church-at-a-crossroads,New York City's Catholic Church at a Crossroads,2025-08-13,Culture,Other,article,high,"A profile of NYC's Catholic Church leadership and institutional change; touches on immigration policy but centers on religious institution management and succession, not a core Vital City civic-policy domain.","Religion, History"
yes,calling-the-cops-less-often,Calling the Cops Less Often,2025-08-06,Policing;Data;Governance,Crisis response;Public Safety Strategy,article,high,"The piece examines alternative (non-police) response models for quality-of-life calls involving mental illness and homelessness, directly addressing crisis response infrastructure and public safety strategy design.","Police Reform, data, Crime, Quality of Life"
yes,mamdani-needs-a-staffing-plan,Zohran Mamdani Needs a Staffing Plan,2025-08-01,Governance;Politics,Governance,article,high,"A substantive piece about mayoral administration, staffing strategy, and government operations—core governance topic, not electoral politics.","Government Operations, Mamdani, Budget"
yes,siesta-time-new-york,"Siesta Time, New York?",2025-08-01,Governance;Culture,Public Space;Climate,article,medium,"Piece examines how NYC's urban design and work culture could adapt to extreme heat through changes to public space (shade, storefronts, daily rhythms) and energy/emissions reduction.","Quality of Life, History"
yes,how-zohran-mamdani-could-succeed-as-mayor,How Zohran Mamdani Could Succeed as Mayor,2025-08-01,Governance;Politics,Politics,article,high,"This is electoral analysis and mayoral governance strategy; primarily a Politics piece about a candidate and his path to success, not crime/public safety specific.","City Government, Mamdani, Government Operations"
yes,zohran-mamdani-in-the-balance,Zohran Mamdani in the Balance,2025-08-01,Politics;Governance,Politics,article,high,"This is an electoral analysis of a mayoral candidate's policy positions and electability, centered on Politics rather than specific policy domains.","Politics, Mamdani, Government Operations"
yes,beyond-free-buses,Beyond Free Buses,2025-07-31,Transit;Governance;Politics,Buses;Public Safety Strategy,article,medium,Core focus is transit affordability policy and trade-offs; Public Safety Strategy fits because the piece examines mayoral campaign promises and implementation feasibility.,"Transit, What to Do Now, City Government, Mamdani"
yes,government-is-already-in-the-grocery-business,Guess What? Government Is Already in the Grocery Business.,2025-07-31,Governance;Politics;Culture,Economy,article,high,"Core subject is municipal grocery retail and food-access economics, not governance or politics per se—a policy proposal evaluated on its economic merits and feasibility.","City Government, Mamdani, Food and Drink"
yes,adams-abdication-has-new-york-city-at-trumps-mercy,Adams’ Abdication Has New York City at Trump’s Mercy,2025-07-29,Governance,Politics;Immigration,article,high,"This is a political opinion piece about Mayor Adams' abdication of responsibility regarding Trump's immigration enforcement in NYC, touching on sanctuary city policy and federal-local relations.","Government Operations, Decisions, Decisions, Decisions, Corruption"
yes,how-you-yes-you-can-help-new-york-city-thrive,"How You (Yes, You) Can Help New York City Thrive",2025-07-29,Culture;Governance;Health & human services,Other,article,medium,A civic-minded opinion piece about personal responsibility and kindness in public spaces; doesn't fit neatly into Ted's more specific policy domains.,"Neighborhood Life, Government Operations, Public Health"
yes,urban-infrastructure-reexamined,"Urban Infrastructure, Reexamined",2025-07-24,Transit;Housing;Culture,Public Space,article,medium,"Core subject is urban infrastructure systems and public realm; while it mentions transit/housing systems, the piece is fundamentally about civic appreciation and exhibition of how the city functions as a whole, not about policy reform in those specific domains.","Infrastructure, City Planning, culture"
yes,how-small-acts-shape-great-cities,How Small Acts Shape Great Cities,2025-07-24,Governance;Culture;Housing,Public Space,article,high,"Essay about litter, sidewalk cleanliness, and shared civic responsibility for maintaining the urban realm—core Public Space territory.","Sanitation, culture, City Planning"
yes,does-eric-adams-have-a-chance,Does Eric Adams Have a Chance?,2025-07-16,Governance;Other;Culture,Politics,article,high,Electoral analysis comparing two mayoral campaigns and political viability; fundamentally about Adams' reelection prospects and political strategy.,"City Government, Leadership in Crisis, History, Decisions, Decisions, Decisions"
yes,how-to-get-smarter-about-fighting-crime,How to Get Smarter About Fighting Crime,2025-07-10,Criminal courts;Culture;Youth,Public Safety Strategy,article,high,"Piece argues for evidence-based, intellectually rigorous approaches to criminal justice policy—a core Public Safety Strategy concern—using policing and incarceration as concrete examples.","Justice, History, Education"
yes,new-yorks-primary-and-the-power-of-better-election,New York’s Primary and the Power of Better Elections,2025-07-02,Politics;Governance,Politics,article,high,"This is an analysis of electoral reforms and primary election dynamics, squarely within Politics; 'Governance' is overapplied here since the piece focuses on electoral mechanics and voting behavior, not government administration.","Politics, City Government"
yes,how-do-you-solve-a-problem-like-fees-and-fines,How Do You Solve a Problem Like Fees and Fines?,2025-07-01,Criminal courts,Criminal courts;Public Safety Strategy,article,high,"The piece examines fines and fees in criminal case processing (Criminal courts) and evaluates a policy intervention to reform the system (Public Safety Strategy), drawing on research findings.","Justice, Crime"
yes,fifty-years-of-injustice-at-rikers,Fifty Years of Injustice at Rikers,2025-07-01,Rikers & jails;Criminal courts,Rikers & jails,article,high,Historical analysis of conditions and legal battles at Rikers Island; civil litigation context makes Criminal courts inapplicable per Ted's rules.,"Jails, Justice"
yes,mamdani-candidate-today-leader-tomorrow,"Mamdani: Candidate Today, Leader Tomorrow",2025-07-01,Governance;Economy,Politics,article,high,"This is analysis of a mayoral candidate's electoral prospects and governing readiness—core electoral politics, not public safety or governance operations.","Government Operations, Journalism"
yes,the-most-interesting-thing-on-the-ballot-this-fall,The Most Interesting Thing on the Ballot this Fall,2025-06-17,Housing;Governance,Politics,article,high,This is an electoral/political commentary piece evaluating mayoral candidates' policy proposals and the Charter Revision Commission's role in the fall ballot—classic Politics domain work.,"Housing, Decisions, Decisions, Decisions, City Government"
yes,zohran-mamdani-and-andrew-cuomo-arent-as-different-as-you-might-think,Zohran Mamdani and Andrew Cuomo Aren’t as Different as You Might Think,2025-06-16,Politics;Governance,Politics,article,high,"This is an electoral analysis of two mayoral candidates' fiscal proposals and honesty—a core politics piece, not about specific policy domains like Housing or Governance.","Politics, Decisions, Decisions, Decisions, Budget"
yes,everyone-got-cities-wrong,Everyone Got Cities Wrong,2025-06-16,Housing;Governance,Other,article,medium,A broad state-of-cities analysis that doesn't fit Ted's public-safety–centric taxonomy; touches housing/governance tangentially but is fundamentally about urban resilience and economic recovery.,"Urbanism, The State of Gotham, City Planning"
yes,new-yorks-five-political-types,New York’s Five Political Types,2025-06-16,Governance;Politics,Politics,article,high,"A data-driven analysis of NYC voter typologies and political coalitions in the context of the mayoral race—pure electoral politics, not governance operations.","The State of Gotham, Politics, Government Operations"
yes,how-trump-twists-the-uses-of-the-national-guard,How Trump Twists the Uses of the National Guard,2025-06-11,Governance;Politics,Politics;National security,article,medium,"Primarily about Trump's politicized use of National Guard deployment as an immigration/sanctuary-city confrontation (Politics), but the piece's deep historical focus on constitutional power-sharing and the Guard's dual state/federal authority also invokes National security concerns.","Military, Politics"
yes,what-the-mayoral-debate-missed,What the Mayoral Debate Missed,2025-06-05,Politics;Governance,Politics,article,high,"Electoral analysis and mayoral campaign coverage; the piece critiques the debate format and candidates' messaging, not specific public safety or governance policy.","Politics, City Government"
yes,tom-robbins-and-the-slow-death-of-common-civic-cul,Tom Robbins and the Slow Death of Common Civic Culture,2025-05-29,Culture;Economy,Politics,article,medium,"The piece examines declining civic engagement and voter turnout in NYC, framed through the lens of journalism's collapse—a Politics concern, though it's fundamentally a cultural/media critique.","History, Journalism"
yes,ai-and-the-future-of-cities,Avoiding the Jetsons Fallacy: AI and the Future of the City,2025-05-28,Economy;Data,Other,article,medium,Speculative piece on AI's broad urban/economic implications doesn't fit Ted's NYC civic-policy domains; 'Economy' or 'Data' misses the core subject (technology's structural impact on cities).,"Technology, Social Science"
yes,the-truth-about-shootings-in-new-york-city,The Truth About Shootings in New York City,2025-05-08,Guns;Data;Climate,Crime Data;Guns,article,high,"Data-driven analysis debunking misleading gun violence reporting; centers on shooting statistics and trends, not climate.","Gun Violence, data, Climate Change"
yes,can-the-usdot-end-mtas-congestion-pricing-system,Can the U.S. Department of Transportation End the MTA’s Congestion Pricing System?,2025-05-07,Governance;Transit,Traffic enforcement;Governance,article,high,"Congestion pricing is a traffic enforcement/tolling mechanism, but the piece's core subject is federalism and the scope of federal power over state transportation policy—a governance question.","Government Operations, Transportation"
yes,drop-dead-city-review,When New York City Truly Teetered on the Brink,2025-04-30,Culture;Governance,Other,article,medium,"This is a film review/cultural commentary on a documentary about NYC's 1975 fiscal crisis; while it touches on governance history, the piece's primary purpose is to critique and contextualize a cultural work, not to analyze policy or current governance.","culture, History, Government Operations"
yes,trumps-bizarro-new-deal,The Bizarro New Deal: Trump’s Dark Inversion of FDR’s First 100 Days,2025-04-29,Culture;Governance,Politics,article,high,"Opinion/analysis piece comparing Trump's and FDR's presidencies and their divergent impacts on governance and American institutions—core electoral and political discourse, not specific NYC public safety policy.","History, Repercussions, Government Operations"
yes,trumps-executive-orders-have-cities-in-the-crosshairs,Trump’s Executive Orders Have Cities in the Crosshairs,2025-04-29,Governance;Housing,Politics;Governance,article,high,"The piece examines Trump's executive orders as political/federal policy attacks on cities and their governance capacity, with secondary impacts on housing, transit, and social services.","Government Operations, Repercussions, City Planning"
yes,donald-trump-vs-the-rule-of-law-and-new-york-city,"Donald Trump vs. the Rule of Law, and New York City",2025-04-29,Politics;Governance,Politics,article,high,"A sweeping editorial on Trump's constitutional transgressions, federal-state relations, and their implications for NYC governance — fundamentally a politics piece, not a domain-specific public safety or policy analysis.","Politics, Repercussions, Corruption"
