author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Bradley Tusk,7,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/tusk-bradley/,"is a venture capitalist, political strategist, philanthropist and writer. His new book, ""Vote With Your Phone: Why Mobile Voting Is Our Final Shot at Saving Democracy,"" was published on September 17.",matched Vital City bio keywords
David Schleicher,7,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/schleicher-david/,is the Walter E. Meyer Professor of Property and Urban Law at Yale Law School.,matched Vital City bio keywords
John K. Roman,7,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/roman-john-k/,is a senior fellow at NORC at the University of Chicago. He also serves as the co-Director of the National Prevention Science Coalition.,matched Vital City bio keywords
Paul Reeping,7,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/paul/,"is the director of research at Vital City and a dedicated gun violence prevention researcher. Before joining Vital City, Paul served as a postdoctoral fellow at the Violence Prevention Research Program at UC Davis.",matched Vital City bio keywords
Jens Ludwig,6,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/ludwig-jens/,is the Edwin A. and Betty L. Bergman Distinguished Service Professor at the University of Chicago and Pritzker Director of the Crime Lab. He co-directs the Education Lab and NBER’s working group on economics of crime.,matched Vital City bio keywords
Vincent Schiraldi,6,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/schiraldi-vincent/,is the former commissioner of New York City’s Probation and Correction Departments. He is a visiting fellow with the Pinkerton Foundation.,matched Vital City bio keywords
Megan Kang,5,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/kang-megan/,is a Ph.D. candidate in sociology at Princeton University and a research affiliate at the UChicago Crime Lab and the Princeton Violence and Inequality Project.,matched Vital City bio keywords
Michael Jacobson,5,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/jacobson-michael/,is the director of the CUNY Institute for State and Local Governance and a professor of sociology at the Graduate Center of the City University of New York.,matched Vital City bio keywords
Morgan C. Williams Jr.,5,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/williams-morgan-c-jr/,"is an assistant professor of economics at Barnard College, Columbia University. He is also an affiliate of the Columbia Population Research Center and a researcher at the Abdul Latif Jameel Poverty Action Lab.",matched Vital City bio keywords
Sara Norman,5,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/norman-sara/,"is the principal in the Law Offices of Sara Norman, located in San Francisco, California. Previously, she served as deputy director of the Prison Law Office, where she managed a nonprofit devoted to class-action system reform litigation.",matched Vital City bio keywords
Alex R. Piquero,4,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/piquero-alex-r/,is professor and chair in the Department of Sociology & Criminology and Arts & Sciences Distinguished Scholar at the University of Miami. He is also the former director of the Bureau of Justice Statistics (appointed by President Biden in June 2022).,matched Vital City bio keywords
Anthony A. Braga,4,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/braga-anthony-a/,is the Jerry Lee Professor of Criminology at the University of Pennsylvania and the director of the university's Crime and Justice Policy Lab.,matched Vital City bio keywords
Barry Friedman,4,academic,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/friedman-barry/,"is the Jacob D. Fuchsberg Professor of Law and founding director of the Policing Project at NYU School of Law, a nonprofit research center promoting public safety through transparency and democratic accountability.",matched Vital City bio keywords
Bruce Western,4,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/western-bruce/,is a professor of sociology and director of the Justice Lab at Columbia University.,matched Vital City bio keywords
Charles Fain Lehman,4,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/lehman-charles-fain/,is a fellow at the Manhattan Institute and a contributing editor of City Journal.,matched Vital City bio keywords
Charles Komanoff,4,government/public sector,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/komanoff-charles/,is an architect of New York City's congestion pricing program and a former head of Transportation Alternatives. He was an energy analyst and utility expert for New York City and states from New York to California.,matched Vital City bio keywords
Hernandez Stroud,4,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/stroud-hernandez/,is a counsel in the Justice Program of the Brennan Center for Justice at New York University School of Law.,matched Vital City bio keywords
Howard Yaruss,4,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/yaruss-howard/,"is an attorney and economist, and author of the book ""Understandable Economics.""",matched Vital City bio keywords
Jelani Cobb,4,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/cobb-jelani/,"became the dean of the Columbia Journalism School in 2022. He has been a staff writer at The New Yorker since 2015 and is the author of ""The Substance of Hope: Barack Obama and the Paradox of Progress"" and other books.",matched Vital City bio keywords
Martha King,4,government/public sector,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/king-martha/,is a senior program officer at the Revson Foundation and former executive director of the New York City Board of Correction. She continues to monitor prisons as a board officer of the Correctional Association of New York.,matched Vital City bio keywords
Peter Moskos,4,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/moskos-peter/,"is a professor at John Jay College of Criminal Justice in New York City. He is the author of four books, including ""Back from the Brink,"" an account of New York City's 1990s crime drop.",matched Vital City bio keywords
Philip J. Cook,4,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/cook-philip-j/,is professor emeritus of public policy and economics at Duke University. He is a member of the National Academy of Medicine and honorary fellow in the American Society of Criminology.,matched Vital City bio keywords
Aaron Short,3,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/short-aaron/,"is a Brooklyn-based journalist who has covered politics, policy, real estate, transportation and art. His work has appeared in New York Magazine, the New York Post, Business Insider, Hyperallergic and Streetsblog.",matched Vital City bio keywords
Alex Chohlas-Wood,3,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/chohlas-wood-alex/,is an assistant professor of computational social science at NYU Steinhardt. He also co-directs the Computational Policy Lab at Harvard Kennedy School and is the former director of analytics at the New York Police Department.,matched Vital City bio keywords
An Infographic,3,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/an-infographic/,,no Vital City bio
Ana Champeny,3,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/champeny-ana/,is vice president for research at the Citizens Budget Commission.,bio present but no rule hit
Arpit Gupta,3,academic,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/gupta-arpit/,is an associate professor of finance at NYU Stern School of Business.,matched Vital City bio keywords
Austin Celestin,3,planner/policy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/celestin-austin/,is a second-year graduate student at NYU Robert F. Wagner School of Public Service studying urban planning.,matched Vital City bio keywords
Benjamin Schneider,3,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/schneider-benjamin/,"is a freelance journalist and Bloomberg CityLab contributor currently and author of the recently published book, ""The Unfinished Metropolis: Igniting the City-Building Revolution.""",matched Vital City bio keywords
Camilo José Vergara,3,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/vergara-camilo-jose/,"is a photographer who has spent more than 50 years documenting poor communities in New York City. He has more than 16,000 images in the Library of Congress.",bio present but no rule hit
Cara Eckholm,3,journalist/media,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/eckholm-cara/,"is the host of Borrow & Steal, a new interview series from Vital City. She is a fellow at Renaissance Philanthropy and runs AKA Urban, a planning firm.",matched Vital City bio keywords
Carol Kellermann,3,government/public sector,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/kellermann-carol/,"is a long-time civic leader with experience in city government and as chief executive of a number of nonprofit organizations, including the Citizens Budget Commission, The September 11th Fund and Learning Leaders.",matched Vital City bio keywords
David R. Eichenthal,3,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/eichenthal-david-r/,is a former Biden White House aide after 30 years working with state and local governments. He was chief of staff to Mark Green and is co-author of works on New York urban politics.,matched Vital City bio keywords
Edward Glaeser,3,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/glaeser-edward/,"is the Fred and Eleanor Glimp Professor of Economics at Harvard University. He is the author of ""Triumph of the City.""",matched Vital City bio keywords
Grace Rauh,3,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/rauh-grace/,is executive director of Citizens Union.,matched Vital City bio keywords
Howard Slatkin,3,planner/policy,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/slatkin-howard/,is the executive director of the Citizens Housing & Planning Council.,matched Vital City bio keywords
Ingrid Gould Ellen,3,academic,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/ellen-ingrid-gould/,is the Paulette Goddard Professor of Urban Policy and Planning at NYU Wagner Graduate School of Public Service and faculty director at the NYU Furman Center. She specializes in housing policy and residential segregation.,matched Vital City bio keywords
Jake Berman,3,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/berman-jake/,"is a lawyer, cartographer, historian and the author of ""The Lost Subways of North America."" Originally born in San Francisco, he now lives in Brooklyn.",matched Vital City bio keywords
Jeffrey A. Butts,3,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/butts-jeffrey-a/,is the director of the Research and Evaluation Center at John Jay College of Criminal Justice.,bio present but no rule hit
Julie Sandorf,3,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/sandorf-julie/,is president of the Revson Foundation.,matched Vital City bio keywords
Marc A. Levin,3,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/levin-marc-a/,is chief policy counsel for the Council on Criminal Justice.,matched Vital City bio keywords
Marcos F. Soler,3,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/soler-marcos-f/,"is the executive director of the Center for Ethics and the Rule of Law at the University of Pennsylvania, and he previously served as deputy secretary for public safety for the New York governor.",matched Vital City bio keywords
Nancy La Vigne,3,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/la-vigne-nancy/,is director of the National Institute of Justice.,bio present but no rule hit
Sam Schwartz,3,government/public sector,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/schwartz-sam/,is CEO of Sam Schwartz Pedestrian Traffic Management and former traffic commissioner and chief engineer of the New York City Department of Transportation.,matched Vital City bio keywords
Sarena Townsend,3,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/townsend-sarena/,"is the founding partner of Townsend Law and previously served as the deputy commissioner of intelligence, investigation and trials at the New York City Department of Correction.",matched Vital City bio keywords
Vicki Been,3,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/been-vicki/,is the Weinfeld Professor of Law at NYU School of Law and faculty director of NYU’s Furman Center. She served as NYC’s deputy mayor of housing and economic development from 2019 to 2021.,matched Vital City bio keywords
Victoria Lawson,3,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/lawson-victoria/,is research project director at the CUNY Institute for State & Local Governance.,bio present but no rule hit
Alex Knorre,2,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/knorre-alex/,"is a criminologist who uses data and statistical methods to study gun violence, homicides, and drugs. He holds a PhD in Criminology from UPenn and currently is a Postdoctoral Research Fellow at the Department of Computer Science at Boston College.",matched Vital City bio keywords
Alia Nahra,2,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/nahra-alia/,is a JD/PhD student in Sociology and a member of the Justice Lab at Columbia University.,matched Vital City bio keywords
Alon Levy,2,planner/policy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/levy-alon/,is a fellow in the transportation and land use program of the NYU Marron Institute.,matched Vital City bio keywords
Andrew Weissmann,2,academic,journalist/media; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/weissmann-andrew/,"is a professor at NYU School of Law and co-host of the ""Prosecuting Donald Trump"" podcast. He is a former general counsel of the Federal Bureau of Investigation.",matched Vital City bio keywords
Anna Harvey,2,academic,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/harvey-anna/,is president and CEO of the Social Science Research Council and a professor of politics at New York University. She directs the Public Safety Lab and is co-director of the Criminal Justice Expert Panel.,matched Vital City bio keywords
Anthony Washburn,2,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/washburn-anthony/,is a senior research methodologist in the Methodology and Quantitative Social Sciences Department at NORC at the University of Chicago.,matched Vital City bio keywords
Basil Smikle Jr.,2,academic,government/public sector; nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/smikle-barry-jr/,"is a political strategist, lecturer and former executive director of the New York State Democratic Party.",matched Vital City bio keywords
Beau Kilmer,2,nonprofit/advocacy,academic,high,vital_city_bio,https://www.vitalcitynyc.org/author/kilmer-beau/,is the co-director of the RAND Drug Policy Research Center and a professor of policy analysis at the Pardee RAND Graduate School. He also serves as the vice president of the International Society for the Study of Drug Policy.,matched Vital City bio keywords
Benjamin Arnav,2,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/arnav-benjamin/,is an AI researcher.,matched Vital City bio keywords
Caitlin Lewis,2,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/lewis-caitlin/,"is the executive director of Work for America, a national nonprofit that helps state and local governments recruit and retain talent.",matched Vital City bio keywords
Carl Weisbrod,2,government/public sector,planner/policy; nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/weisbrod-carl/,"is a senior advisor at HR&A Advisors, former chair of the New York City Planning Commission and former president of the Downtown-Lower Manhattan Association.",matched Vital City bio keywords
Caterina Roman,2,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/roman-caterina/,is a professor in the Department of Criminal Justice at Temple University.,matched Vital City bio keywords
Chris McNickle,2,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mcnickle-chris/,"is author of ""To Be Mayor of New York: Ethnic Politics in the City,"" ""The Power of the Mayor: David Dinkins 1990-1993"" and ""Bloomberg: A Billionaire’s Ambition.""",matched Vital City bio keywords
Christy Lopez,2,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/lopez-christy/,is a professor at Georgetown Law and faculty co-director of the Center for Innovations for Community Safety. She was a deputy chief in the U.S. Department of Justice Civil Rights Division from 2010-2017.,matched Vital City bio keywords
Claire Weisz,2,planner/policy,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/weisz-claire/,"is the founding partner of WXY, the New York City-based architecture, urban design and planning firm.",matched Vital City bio keywords
David Burney,2,government/public sector,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/burney-david/,is director of Urban Placemaking and Management. He was Mayor Bloomberg’s commissioner of the Department of Design and Construction and founder of the Center for Active Design.,matched Vital City bio keywords
David Thacher,2,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/thacher-david/,is an associate professor of public policy at the University of Michigan’s Ford School of Public Policy. He has written widely about the police role and knowledge in police reform.,matched Vital City bio keywords
Eileen Markey,2,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/markey-eileen/,"is an associate professor of Journalism at Lehman College, CUNY. She’s at work on a book about the people who fought for the Bronx in the 1970s and 80s.",matched Vital City bio keywords
Elliot Haspel,2,planner/policy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/haspel-elliot/,"is a child and family policy expert and senior fellow at the think tank Capita. He is author of the new book ""Raising a Nation: 10 Reasons Every American Has a Stake in Child Care For All.""",matched Vital City bio keywords
Eric A. Goldstein,2,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/goldstein-eric-a/,is a senior attorney and New York City environment director at the Natural Resources Defense Council.,matched Vital City bio keywords
Eric Goldwyn,2,academic,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/goldwyn-eric/,is a professor at NYU Marron and the director of the Transportation and Land Use program.,matched Vital City bio keywords
Eric Gonzalez,2,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/gonzalez-eric/,was elected Brooklyn district attorney in 2017.,matched Vital City bio keywords
Ernesto Castañeda,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/castaneda-ernesto/,is the director of The Immigration Lab at American University.,bio present but no rule hit
Freddie deBoer,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/deboer-freddie/,is a writer and academic. He lives in Connecticut with his wife and his cat.,matched Vital City bio keywords
Gerard Torrats-Espinosa,2,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/torrats-espinosa-gerard/,is an assistant professor of sociology and a member of the Data Science Institute at Columbia University.,matched Vital City bio keywords
Gloria Gong,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/gong-gloria/,,no Vital City bio
Graham Rayman,2,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/rayman-graham/,"is a journalist currently covering criminal justice for the NY Daily News. He co-authored ""Rikers: An Oral History"" with Reuven Blau.",matched Vital City bio keywords
Henry Grabar,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/grabar-henry/,"is the author of ""Paved Paradise: How Parking Explains the World.""",bio present but no rule hit
Jan Ransom,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/ransom-jan/,"is an investigative reporter for The New York Times focusing on criminal justice issues, law enforcement and incarceration in New York.",matched Vital City bio keywords
Jason Bailey,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/bailey-jason/,"is a film critic and historian, and the author of six books. His work has appeared in The New York Times, Vanity Fair, Time, Bloomberg, Vulture, Rolling Stone, The Playlist, RogerEbert.com and more.",bio present but no rule hit
Jason M. Barr,2,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/barr-jason-m/,is an economics professor at Rutgers University-Newark.,matched Vital City bio keywords
Jeff Asher,2,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/asher-jeff/,is a crime analyst based in New Orleans and co-founder of AH Datalytics. He is the author of a Substack newsletter covering crime data and analysis.,matched Vital City bio keywords
Jennifer Doleac,2,nonprofit/advocacy,academic; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/doleac-jennifer/,is executive vice president of criminal justice at Arnold Ventures. She is an economist who specializes in the economics of crime and criminal justice policy.,matched Vital City bio keywords
Jessica Katz,2,government/public sector,planner/policy; nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/katz-jessica/,is the strategic policy advisor at Cannon Heyman & Weiss LLP and principal of Silver Bullet Consulting. She is the former chief housing officer of New York City and was previously the executive director of the Citizens Housing & Planning Council.,matched Vital City bio keywords
Jody Rudin,2,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/rudin-jody/,is president and CEO of the Institute for Community Living and a member of the Collaborative on Housing for Health.,matched Vital City bio keywords
Joe McReynolds,2,academic,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/mcreynolds-joe/,"is co-author of ""Emergent Tokyo: Designing the Spontaneous City"" and a researcher and Ph.D. candidate at Keio University’s Almazan Architecture and Urban Studies Laboratory in Japan.",matched Vital City bio keywords
John MacDonald,2,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/macdonald-john/,is a professor of criminology and sociology at the University of Pennsylvania.,matched Vital City bio keywords
John Pfaff,2,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/pfaff-john/,"is a professor of law at the Fordham University School of Law, and is the author of ""Locked In: The True Causes of Mass Incarceration and How to Achieve Real Reform.""",matched Vital City bio keywords
John Surico,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/surico-john/,is a freelance journalist who contributes to The New York Times and Bloomberg CityLab. He teaches at NYU and serves as a senior fellow at the Center for an Urban Future.,matched Vital City bio keywords
Joseph Richardson Jr.,2,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/richardson-joseph-jr/,"is the MPower Professor of African-American Studies, Medical Anthropology and Epidemiology at the University of Maryland.",matched Vital City bio keywords
Josiah Bates,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/bates-josiah/,"is the Great Lakes reporter for The Trace and the author of ""In These Streets: Reporting from the Front Lines of Inner-City Gun Violence.""",matched Vital City bio keywords
Julia D. Day,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/day-julia-d/,is a partner and team director at Gehl Studio.,bio present but no rule hit
Karen Friedman Agnifilo,2,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/friedman-agnifilo-karen/,"is an attorney in private practice who served as chief assistant district attorney under Manhattan DA Cy Vance, culminating a three-decade career in prosecution and criminal justice policy.",matched Vital City bio keywords
Larisa Ortiz,2,government/public sector,academic; planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/ortiz-larisa/,"is managing director of public nonprofit solutions at Streetsense. A Fulbright Scholar and Watson Fellow, she is the author of ""Improving Tenant Mix"" and a former New York City planning commissioner.",matched Vital City bio keywords
Liberty Aldrich,2,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/aldrich-liberty/,is the executive director of the Children’s Law Center in New York City and a former New York Family Court judge in the Bronx.,matched Vital City bio keywords
Majora Carter,2,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/carter-majora/,"is a real estate developer, urban revitalization strategy consultant, lecturer at Princeton University, MacArthur Fellow and lifelong resident of the Hunts Point neighborhood of the South Bronx.",matched Vital City bio keywords
Max Isaacs,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/isaacs-max/,is Director of Technology Law and Policy at the Policing Project.,bio present but no rule hit
Michael Javen Fortner,2,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/fortner-michael-javen/,"is a professor of government at Claremont McKenna College and the author of ""Black Silent Majority: The Rockefeller Drug Laws and the Politics of Punishment.""",matched Vital City bio keywords
Michael Lind,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/lind-michael/,"is the economics editor of Commonplace, a fellow at New America and the author of ""The New Class War.""",matched Vital City bio keywords
Michael Rempel,2,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/rempel-michael/,"is the executive director of the Data Collaborative for Justice at John Jay College of Criminal Justice. He previously served as research director and, later, director of jail reform at the Center for Justice Innovation.",matched Vital City bio keywords
Michael Tubridy,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/tubridy-michael/,"is a freelance writer whose work has appeared in Irish America and The Recorder. He is the co-author of ""An Irish Passion for Justice.""",matched Vital City bio keywords
Miles Marshall Lewis,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/marshall-lewis-miles/,"is a pop culture critic who grew up in the Bronx and the author of ""Promise That You Will Sing About Me: The Power and Poetry of Kendrick Lamar.""",bio present but no rule hit
Neil Barsky,2,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/barsky-neil/,"is a former reporter for the New York Daily News and the Wall Street Journal and the director of the documentary ""Koch"" (2012).",matched Vital City bio keywords
Nneka Jones Tapia,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/jones-tapia-nneka/,"is the managing director of justice initiatives at Chicago Beyond, a national philanthropic organization committed to addressing systemic inequity by backing solutions led by people closest to the issues.",bio present but no rule hit
Patrick Sharkey,2,academic,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/sharkey-patrick/,is a professor of sociology and public affairs at Princeton University. He is the founder of AmericanViolence.org.,matched Vital City bio keywords
Paul Francis,2,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/francis-paul/,"is a senior research associate at Cornell Tech’s Jacobs Urban Tech Hub, and the author of ""Smart Cities: Big Data, Civic Hackers, and the Quest for a New Utopia"" and ""Ghost Road: Beyond the Driverless Car.""",bio present but no rule hit
Renita Francois,2,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/francois-renita/,is the chief strategy officer at Tides Advocacy.,matched Vital City bio keywords
Reuven Blau,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/blau-reuven/,"is a reporter for The City, with a special focus on criminal justice and the City’s prison system. He is the co-author, along with Graham Rayman, of ""Rikers: An Oral History.""",matched Vital City bio keywords
