author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Rose Gill,2,government/public sector,attorney/lawyer; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/gill-rose/,is principal of the municipal integrity team at Bloomberg Associates. She is former NYC Department of Investigation commissioner and founder of the Center for the Advancement of Public Integrity at Columbia Law School.,matched Vital City bio keywords
Tracey L. Meares,2,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/meares-tracey-l/,is the Walton Hale Hamilton Professor and founding director of the Justice Collaboratory at Yale Law School. She was previously a professor at the University of Chicago Law School.,matched Vital City bio keywords
Bridget G. Brennan,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/brennan-bridget-g/,"is the special narcotics prosecutor of New York City, a role she has held since 1998.",matched Vital City bio keywords
Craig Gurian,1,attorney/lawyer,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/gurian-craig/,is executive director of the Anti-Discrimination Center. He sued Westchester County for failing to affirmatively further fair housing and was lead counsel in a fair housing case challenging NYC's housing lottery practices.,matched Vital City bio keywords
Daniel Ades,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/ades-daniel/,is the director of New York legal policy at the Center for Justice Innovation.,matched Vital City bio keywords
Daniel Richman,1,attorney/lawyer,academic,high,vital_city_bio,https://www.vitalcitynyc.org/author/richman-daniel/,is a former federal prosecutor in the U.S. Attorney’s Office for the Southern District of New York and the current Paul J. Kellner Professor of Law at Columbia Law School,matched Vital City bio keywords
Darcel Clark,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/clark-darcel/,is the Bronx's district attorney.,matched Vital City bio keywords
David Bloomfield,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/bloomfield-david/,"is a professor of education leadership, law and policy at Brooklyn College and The CUNY Graduate Center. He was general counsel to the New York City Board of Education prior to mayoral control.",matched Vital City bio keywords
David Reiss,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/david/,is a clinical professor of law at Cornell Law School and Cornell Tech and was chair of the Rent Guidelines Board from 2019 to 2023.,matched Vital City bio keywords
Drew Skinner,1,attorney/lawyer,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/skinner-drew/,"is a former federal prosecutor. Until June 2023, he was co-chief of the Violent & Organized Crime Unit in the United States Attorney’s Office for the Southern District of New York.",matched Vital City bio keywords
Jane M. Spinak,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/spinak-jane-m/,is Edward Ross Aranow Clinical Professor Emerita of Law at Columbia Law School.,matched Vital City bio keywords
Jesse Woo,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/woo-jesse/,is an AI/Tech Policy Counsel at the Policing Project's Tech Team.,matched Vital City bio keywords
Jonathan Ben-Menachem,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/jonathan-ben-menachem/,"is a PhD candidate in Sociology at Columbia University, where he researches the politics of the criminal legal system.",matched Vital City bio keywords
Kaley Pillinger,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/pillinger-kaley/,"is a J.D. candidate at Yale Law School. Previously, she worked as an affordable housing developer in New York City.",matched Vital City bio keywords
Katie Kinsey,1,government/public sector,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/kinsey-katie/,is Chief of Staff and Tech Policy Counsel at the Policing Project.,matched Vital City bio keywords
Keith Ellison,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/ellison-keith/,is the attorney general of Minnesota.,matched Vital City bio keywords
Margery Perlmutter,1,attorney/lawyer,planner/policy; architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/perlmutter-margery/,"is a land use lawyer, architect and founder of Urban Factors consultancy. She is a former chair of the NYC Board of Standards and Appeals.",matched Vital City bio keywords
Michael B. Mushlin,1,attorney/lawyer,academic,high,vital_city_bio,https://www.vitalcitynyc.org/author/mushlin-michael-b/,"is a professor of law emeritus at the Elisabeth Haub School of Law at Pace University, who was staff attorney from 1973 to 1977 and project director from 1977 to 1980 of the Prisoners’ Rights Project of the Legal Aid Society.",matched Vital City bio keywords
Michael Santorelli,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/santorelli-michael/,"is the director of the ACLP at New York Law School, a regulatory law and policy program that studies broadband and utility issues.",matched Vital City bio keywords
Olivia Li,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/li-olivia/,is senior counsel at Everytown.,matched Vital City bio keywords
Richard Briffault,1,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/briffault-richard/,"is a professor of law at Columbia Law School, where he researches, writes and teaches state and local government law.",matched Vital City bio keywords
Robin Goldstein,1,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/goldstein-robin/,"is director of the Cannabis Economics Group and an economist in the Department of Agricultural and Resource Economics at the University of California, Davis. He co-wrote the book ""Can Legal Weed Win? The Blunt Realities of Cannabis Economics.""",matched Vital City bio keywords
Stephen Goldsmith,1,government/public sector,academic; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/goldsmith-stephen/,"is the Derek Bok Professor of Urban Policy at Harvard’s Kennedy School of Government, and was formerly a prosecutor and mayor in Indianapolis, and deputy mayor of New York City.",matched Vital City bio keywords
Steven Belenko,1,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/belenko-steven/,is a professor in the Department of Criminal Justice at Temple University. He has conducted extensive research on drug courts and other treatment interventions for people in the criminal legal system.,matched Vital City bio keywords
Steven M. Cohen,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/cohen-steven-m/,is a partner in Blue Raven LLP. He served in the Cuomo administration as secretary to the governor and chair of Empire State Development. He teaches at New York Law School.,matched Vital City bio keywords
Suma Mandel,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mandel-suma/,is a partner in Blue Raven LLP. She served as Chief Administrative Office of the Gateway Development Corporation and was general counsel of the Brooklyn Bridge Park Corporation.,matched Vital City bio keywords
Zachary Carter,1,attorney/lawyer,,high,vital_city_bio,https://www.vitalcitynyc.org/author/carter-zachary/,is currently chairman of the board of the Legal Aid Society of New York City. He previously served as corporation counsel for the City of New York from 2014 to 2019.,matched Vital City bio keywords
